date,exponential_smoothing_forecast,arima_forecast
2025-11-30,5141187.320768758,534549.7121347033
2025-12-31,6380206.450289553,2796874.353960545
2026-01-31,7619225.579810347,3082524.598729907
2026-02-28,8858244.709331142,1438984.9534831974
2026-03-31,10097263.838851936,1940140.8156929007
2026-04-30,11336282.968372732,2835132.621777855
2026-05-31,12575302.097893525,2120126.9307429534
2026-06-30,13814321.227414321,1819293.1851031787
2026-07-31,15053340.356935114,2427571.48267796
2026-08-31,16292359.48645591,2373444.625003653
2026-09-30,17531378.615976702,1986784.44302967
2026-10-31,18770397.7454975,2186366.438441857
